Quality_ID,Batch_ID,Product_ID,Inspection_Date,Test_Type,Test_Result,Specification_Limit,Quality_Status,Defect_Type,Rejection_Qty
Q00001,B202600001,P014,2025-11-17,Purity,97.45,95.13,Passed,None,0
Q00002,B202500002,P012,2025-06-09,Purity,98.95,98.61,Passed,None,0
Q00003,B202600003,P019,2026-04-22,Potency,96.92,95.48,Passed,None,0
Q00004,B202500004,P014,2025-11-20,Purity,99.21,97.2,Passed,None,0
Q00005,B202600005,P009,2025-12-04,Dissolution,101.2,97.28,Passed,None,0
Q00006,B202500006,P011,2025-02-18,Potency,96.15,98.58,Failed,High Impurity,791
Q00007,B202600007,P019,2026-01-03,Potency,92.56,95.05,Failed,Low Potency,647
Q00008,B202500008,P018,2025-01-27,Purity,97.3,95.04,Passed,None,0
Q00009,B202600009,P004,2026-06-01,Assay,96.45,96.18,Passed,None,0
Q00010,B202500010,P004,2026-06-23,Assay,98.2,98.39,Failed,Packaging Defect,300
Q00011,B202600011,P014,2025-02-26,Purity,99.14,95.32,Passed,None,0
Q00012,B202500012,P004,2025-06-15,Assay,101.83,98.62,Passed,None,0
Q00013,B202600013,P012,2026-01-02,Purity,98.09,95.54,Passed,None,0
Q00014,B202500014,P001,2025-02-13,Assay,94.12,95.31,Failed,Contamination,716
Q00015,B202600015,P020,2026-03-14,Potency,95.43,95.74,Failed,Low Potency,565
Q00016,B202500016,P010,2025-05-25,Assay,100.63,97.4,Passed,None,0
Q00017,B202600017,P016,2025-11-10,Potency,98.73,95.28,Passed,None,0
Q00018,B202500018,P018,2026-01-06,Purity,103.33,97.71,Passed,None,0
Q00019,B202600019,P001,2025-04-19,Assay,102.96,96.55,Passed,None,0
Q00020,B202500020,P004,2025-03-02,Assay,95.26,95.35,Failed,High Impurity,322
Q00021,B202600021,P017,2025-01-20,Assay,98.57,96.51,Passed,None,0
Q00022,B202500022,P002,2025-06-25,Purity,97.76,98.7,Failed,Dissolution Failure,324
Q00023,B202600023,P003,2025-04-29,Dissolution,101.45,97.33,Passed,None,0
Q00024,B202500024,P012,2025-04-04,Purity,101.5,96.5,Passed,None,0
Q00025,B202600025,P015,2025-09-15,Dissolution,100.39,98.75,Passed,None,0
Q00026,B202500026,P008,2025-11-30,Purity,99.54,98.22,Passed,None,0
Q00027,B202600027,P014,2025-02-11,Purity,98.44,96.9,Passed,None,0
Q00028,B202500028,P015,2025-01-01,Dissolution,96.25,96.08,Passed,None,0
Q00029,B202600029,P002,2025-02-23,Purity,96.46,97.12,Failed,Packaging Defect,858
Q00030,B202500030,P018,2026-03-17,Purity,101.97,97.54,Passed,None,0
Q00031,B202600031,P006,2026-04-23,Assay,102.44,97.54,Passed,None,0
Q00032,B202500032,P020,2025-08-29,Potency,101.24,98.4,Passed,None,0
Q00033,B202600033,P006,2025-10-14,Assay,99.37,97.87,Passed,None,0
Q00034,B202500034,P014,2026-04-03,Purity,95.92,96.1,Failed,Packaging Defect,882
Q00035,B202600035,P007,2025-11-09,Assay,101.4,98.89,Passed,None,0
Q00036,B202500036,P007,2026-04-05,Assay,97.88,98.45,Failed,High Impurity,589
Q00037,B202600037,P017,2026-06-08,Assay,95.56,96.56,Failed,Low Potency,278
Q00038,B202500038,P014,2026-08-04,Purity,100.31,95.41,Passed,None,0
Q00039,B202600039,P012,2025-01-06,Purity,98.89,97.55,Passed,None,0
Q00040,B202500040,P020,2025-06-11,Potency,92.86,95.47,Failed,Contamination,355
Q00041,B202600041,P017,2025-12-22,Assay,98.57,95.39,Passed,None,0
Q00042,B202500042,P001,2025-07-03,Assay,97.97,96.16,Passed,None,0
Q00043,B202600043,P008,2025-04-24,Purity,100.33,98.01,Passed,None,0
Q00044,B202500044,P012,2025-05-13,Purity,96.06,97.84,Failed,Dissolution Failure,551
Q00045,B202600045,P008,2026-04-29,Purity,95.54,95.24,Passed,None,0
Q00046,B202500046,P006,2026-06-08,Assay,96.06,96.58,Failed,Packaging Defect,565
Q00047,B202600047,P019,2026-08-08,Potency,103.52,98.96,Passed,None,0
Q00048,B202500048,P010,2025-07-29,Assay,95.95,98.84,Failed,Packaging Defect,278
Q00049,B202600049,P003,2025-02-10,Dissolution,102.78,98.28,Passed,None,0
Q00050,B202500050,P004,2026-03-27,Assay,94.74,95.14,Failed,Packaging Defect,120
Q00051,B202600051,P019,2026-03-12,Potency,102.52,98.49,Passed,None,0
Q00052,B202500052,P013,2025-06-07,Assay,99.54,95.14,Passed,None,0
Q00053,B202600053,P018,2025-12-18,Purity,98.61,97.23,Passed,None,0
Q00054,B202500054,P020,2025-02-05,Potency,100.04,98.98,Passed,None,0
Q00055,B202600055,P014,2026-03-30,Purity,99.17,95.54,Passed,None,0
Q00056,B202500056,P005,2026-02-19,Purity,99.64,96.74,Passed,None,0
Q00057,B202600057,P002,2025-01-30,Purity,99.16,96.54,Passed,None,0
Q00058,B202500058,P012,2025-07-27,Purity,93.67,95.47,Failed,High Impurity,689
Q00059,B202600059,P006,2026-04-20,Assay,98.5,95.23,Passed,None,0
Q00060,B202500060,P013,2026-04-12,Assay,101.26,98.31,Passed,None,0
Q00061,B202600061,P020,2026-06-08,Potency,96.21,98.97,Failed,High Impurity,118
Q00062,B202500062,P012,2025-04-20,Purity,98.44,95.85,Passed,None,0
Q00063,B202600063,P008,2025-12-23,Purity,100.83,97.78,Passed,None,0
Q00064,B202500064,P009,2026-05-18,Dissolution,102.34,98.82,Passed,None,0
Q00065,B202600065,P006,2025-08-09,Assay,99.07,97.67,Passed,None,0
Q00066,B202500066,P004,2025-04-07,Assay,96.08,95.89,Passed,None,0
Q00067,B202600067,P020,2025-05-21,Potency,100.26,98.62,Passed,None,0
Q00068,B202500068,P017,2026-05-29,Assay,96.16,96.44,Failed,Dissolution Failure,725
Q00069,B202600069,P012,2025-03-08,Purity,96.49,96.34,Passed,None,0
Q00070,B202500070,P009,2025-04-26,Dissolution,98.9,97.74,Passed,None,0
Q00071,B202600071,P013,2025-11-10,Assay,98.79,96.75,Passed,None,0
Q00072,B202500072,P017,2026-02-12,Assay,99.46,97.3,Passed,None,0
Q00073,B202600073,P016,2026-07-25,Potency,95.48,95.2,Passed,None,0
Q00074,B202500074,P002,2025-12-26,Purity,99.21,98.44,Passed,None,0
Q00075,B202600075,P016,2026-01-21,Potency,99.4,98.39,Passed,None,0
Q00076,B202500076,P003,2025-06-02,Dissolution,98.79,97.96,Passed,None,0
Q00077,B202600077,P008,2025-03-29,Purity,99.25,97.39,Passed,None,0
Q00078,B202500078,P005,2025-07-30,Purity,94.51,97.35,Failed,High Impurity,867
Q00079,B202600079,P016,2026-01-11,Potency,92.55,96.45,Failed,Dissolution Failure,490
Q00080,B202500080,P019,2025-01-30,Potency,100.14,96.6,Passed,None,0
Q00081,B202600081,P011,2026-01-08,Potency,103.29,98.52,Passed,None,0
Q00082,B202500082,P001,2025-01-22,Assay,100.28,95.07,Passed,None,0
Q00083,B202600083,P003,2025-08-15,Dissolution,97.17,96.39,Passed,None,0
Q00084,B202500084,P011,2025-01-01,Potency,98.98,96.12,Passed,None,0
Q00085,B202600085,P003,2025-11-13,Dissolution,99.6,98.0,Passed,None,0
Q00086,B202500086,P004,2026-01-05,Assay,97.69,96.85,Passed,None,0
Q00087,B202600087,P005,2025-10-27,Purity,99.47,95.58,Passed,None,0
Q00088,B202500088,P006,2025-11-26,Assay,95.56,95.41,Passed,None,0
Q00089,B202600089,P006,2025-10-06,Assay,98.96,96.45,Passed,None,0
Q00090,B202500090,P014,2025-03-11,Purity,97.72,95.57,Passed,None,0
Q00091,B202600091,P007,2025-08-26,Assay,97.05,96.17,Passed,None,0
Q00092,B202500092,P014,2025-02-18,Purity,94.71,95.31,Failed,High Impurity,977
Q00093,B202600093,P013,2026-03-27,Assay,103.15,97.67,Passed,None,0
Q00094,B202500094,P013,2025-06-06,Assay,92.39,95.18,Failed,Packaging Defect,642
Q00095,B202600095,P003,2026-07-10,Dissolution,97.02,96.93,Passed,None,0
Q00096,B202500096,P002,2026-03-10,Purity,93.11,95.17,Failed,Packaging Defect,378
