Sale_ID,Sale_Date,Product_ID,Customer_ID,Batch_ID,Quantity_Sold,Unit_Price,Discount_Percent,Total_Sales,Sales_Region,Sales_Rep
S000001,2026-05-06,P010,H0248,B202600347,523,55,5.0,27326.75,South,Anita
S000002,2026-05-25,P018,H0079,B202501456,540,80,2.5,42120.0,South,Kiran
S000003,2026-01-10,P008,H0345,B202502838,297,40,5.0,11286.0,South,Vikram
S000004,2025-08-20,P012,H0361,B202500194,662,65,10.0,38727.0,South,Sneha
S000005,2026-01-17,P018,H0402,B202604663,110,80,5.0,8360.0,North,Kiran
S000006,2025-08-11,P004,H0209,B202501550,968,45,2.5,42471.0,North,Priya
S000007,2026-01-14,P016,H0023,B202600267,538,110,5.0,56221.0,West,Priya
S000008,2025-12-02,P018,H0222,B202503248,180,80,5.0,13680.0,South,Priya
S000009,2025-10-09,P002,H0378,B202600149,164,85,5.0,13243.0,North,Vikram
S000010,2026-02-26,P001,H0447,B202601837,374,35,5.0,12435.5,West,Neha
S000011,2025-11-24,P009,H0264,B202600497,713,30,2.5,20855.25,South,Rahul
S000012,2026-05-28,P019,H0390,B202603123,457,125,7.5,52840.62,West,Kiran
S000013,2026-06-13,P014,H0206,B202500436,573,42,0.0,24066.0,East,Anita
S000014,2025-10-22,P020,H0118,B202503448,417,300,0.0,125100.0,West,Rahul
S000015,2025-08-23,P016,H0325,B202601381,389,110,7.5,39580.75,North,Kiran
S000016,2026-03-20,P009,H0404,B202601555,350,30,5.0,9975.0,North,Priya
S000017,2025-12-10,P007,H0004,B202601885,475,50,5.0,22562.5,North,Anita
S000018,2025-09-01,P001,H0398,B202502230,463,35,5.0,15394.75,East,Vikram
S000019,2026-04-15,P018,H0183,B202603025,242,80,0.0,19360.0,South,Kiran
S000020,2026-01-09,P003,H0086,B202502402,382,120,5.0,43548.0,South,Rahul
S000021,2025-10-16,P001,H0070,B202503606,241,35,2.5,8224.12,South,Vikram
S000022,2026-02-01,P020,H0018,B202501926,463,300,2.5,135427.5,West,Kiran
S000023,2025-07-22,P004,H0188,B202603333,840,45,2.5,36855.0,South,Rahul
S000024,2026-03-06,P008,H0029,B202602801,611,40,7.5,22607.0,South,Priya
S000025,2025-12-21,P007,H0282,B202503268,499,50,7.5,23078.75,South,Vikram
S000026,2025-08-18,P019,H0274,B202503650,140,125,10.0,15750.0,West,Arjun
S000027,2025-10-13,P014,H0478,B202504530,451,42,5.0,17994.9,South,Arjun
S000028,2026-06-03,P009,H0040,B202602753,73,30,5.0,2080.5,South,Rahul
S000029,2025-10-14,P005,H0083,B202604575,57,95,10.0,4873.5,North,Rahul
S000030,2026-05-29,P009,H0431,B202504866,494,30,5.0,14079.0,South,Priya
S000031,2026-06-25,P005,H0210,B202604779,933,95,7.5,81987.38,South,Sneha
S000032,2025-10-04,P001,H0123,B202603487,285,35,7.5,9226.88,South,Neha
S000033,2026-02-04,P011,H0494,B202603411,484,450,0.0,217800.0,South,Arjun
S000034,2026-01-20,P017,H0337,B202604821,546,38,0.0,20748.0,West,Rahul
S000035,2026-05-01,P003,H0289,B202500712,962,120,10.0,103896.0,North,Kiran
S000036,2026-05-10,P020,H0119,B202604723,583,300,10.0,157410.0,South,Priya
S000037,2025-07-12,P019,H0048,B202603095,389,125,7.5,44978.12,North,Rahul
S000038,2026-06-24,P007,H0420,B202604583,842,50,10.0,37890.0,West,Kiran
S000039,2025-10-31,P006,H0382,B202601893,53,70,7.5,3431.75,East,Rahul
S000040,2026-04-23,P015,H0283,B202503766,441,90,0.0,39690.0,North,Arjun
S000041,2026-01-31,P014,H0443,B202604213,555,42,5.0,22144.5,North,Sneha
S000042,2025-09-30,P017,H0202,B202604737,373,38,2.5,13819.65,West,Vikram
S000043,2025-12-10,P020,H0178,B202502502,935,300,5.0,266475.0,West,Arjun
